"wochentag";"stunde";"likes";"typ";"kategorie";"bezahlt"
1;2;135195;"Foto";"Aktion";"Nein"
1;3;139440;"Foto";"Inspiration";"Nein"
1;2;138353;"Link";"Aktion";"Nein"
2;13;109672;"Foto";"Aktion";"Ja"
3;3;139444;"Foto";"Inspiration";"Nein"
7;4;135197;"Foto";"Aktion";"Nein"
7;13;96752;"Foto";"Aktion";"Ja"
7;11;131630;"Foto";"Aktion";"Nein"
4;3;91760;"Foto";"Inspiration";"Ja"
4;13;124942;"Foto";"Aktion";"Ja"
7;11;138413;"Foto";"Produkt";"Nein"
2;11;137891;"Video";"Aktion";"Nein"
2;3;137176;"Foto";"Aktion";"Nein"
2;7;135699;"Foto";"Inspiration";"Nein"
1;13;92721;"Foto";"Produkt";"Nein"
6;4;126140;"Foto";"Aktion";"Ja"
4;12;93470;"Foto";"Aktion";"Nein"
2;7;111618;"Foto";"Produkt";"Nein"
6;6;129599;"Foto";"Aktion";"Ja"
6;10;138416;"Link";"Aktion";"Nein"
5;10;138327;"Foto";"Aktion";"Nein"
3;13;123048;"Foto";"Produkt";"Nein"
7;12;132202;"Foto";"Aktion";"Ja"
2;10;131955;"Foto";"Aktion";"Nein"
3;13;106928;"Foto";"Produkt";"Nein"
5;20;109669;"Foto";"Produkt";"Nein"
3;7;125613;"Foto";"Aktion";"Nein"
3;11;137894;"Status";"Produkt";"Nein"
4;3;123047;"Foto";"Inspiration";"Nein"
1;13;115367;"Foto";"Produkt";"Nein"
2;10;137175;"Foto";"Produkt";"Nein"
6;10;138894;"Foto";"Aktion";"Ja"
3;3;109670;"Foto";"Aktion";"Nein"
6;9;135618;"Foto";"Produkt";"Nein"
6;2;92187;"Foto";"Produkt";"Ja"
4;10;139442;"Foto";"Inspiration";"Nein"
5;4;106927;"Link";"Aktion";"Nein"
2;4;102111;"Foto";"Aktion";"Nein"
3;5;138410;"Foto";"Inspiration";"Ja"
6;3;138186;"Foto";"Aktion";"Ja"
1;5;123047;"Foto";"Produkt";"Ja"
7;13;116436;"Foto";"Produkt";"Nein"
1;7;131957;"Foto";"Aktion";"Nein"
3;12;93255;"Foto";"Produkt";"Nein"
2;3;125608;"Foto";"Inspiration";"Nein"
4;11;137058;"Foto";"Inspiration";"Nein"
3;3;137176;"Link";"Aktion";"Nein"
3;10;117763;"Foto";"Aktion";"Nein"
5;9;136392;"Foto";"Aktion";"Nein"
3;1;135714;"Foto";"Inspiration";"Nein"
5;13;93682;"Foto";"Aktion";"Ja"
5;3;107908;"Foto";"Produkt";"Ja"
5;8;133594;"Foto";"Aktion";"Nein"
4;2;137176;"Status";"Produkt";"Nein"
2;4;131955;"Foto";"Inspiration";"Nein"
5;9;106928;"Foto";"Produkt";"Ja"
6;3;136741;"Status";"Inspiration";"Nein"
1;13;91223;"Foto";"Aktion";"Nein"
3;2;137896;"Foto";"Aktion";"Ja"
6;2;85094;"Foto";"Produkt";"Nein"
1;9;138894;"Foto";"Produkt";"Nein"
6;2;116089;"Foto";"Produkt";"Nein"
1;13;123047;"Foto";"Produkt";"Nein"
1;2;115365;"Foto";"Produkt";"Ja"
3;3;106928;"Foto";"Aktion";"Ja"
3;9;137174;"Foto";"Aktion";"Ja"
4;10;128033;"Status";"Inspiration";"Nein"
3;9;128032;"Foto";"Aktion";"Ja"
4;3;137893;"Video";"Aktion";"Ja"
6;10;131956;"Foto";"Produkt";"Nein"
1;12;102114;"Foto";"Aktion";"Nein"
6;3;139441;"Status";"Inspiration";"Nein"
5;4;126141;"Status";"Inspiration";"Nein"
4;12;123051;"Foto";"Produkt";"Nein"
3;3;91545;"Foto";"Produkt";"Nein"
2;11;125609;"Foto";"Aktion";"Nein"
2;8;109671;"Foto";"Aktion";"Nein"
6;3;135199;"Foto";"Inspiration";"Nein"
7;18;102111;"Foto";"Aktion";"Nein"
2;3;127081;"Foto";"Aktion";"Ja"
2;4;107905;"Foto";"Aktion";"Ja"
5;9;107906;"Foto";"Aktion";"Nein"
4;10;136394;"Link";"Aktion";"Nein"
7;3;137060;"Foto";"Produkt";"Nein"
3;10;138330;"Foto";"Aktion";"Nein"
4;11;85979;"Link";"Aktion";"Nein"
5;3;137060;"Foto";"Aktion";"Nein"
5;4;124940;"Foto";"Produkt";"Nein"
2;11;117762;"Foto";"Produkt";"Nein"
2;10;136012;"Status";"Produkt";"Nein"
6;2;85983;"Foto";"Produkt";"Nein"
4;4;98195;"Foto";"Aktion";"Ja"
6;3;138412;"Foto";"Produkt";"Nein"
3;4;86488;"Link";"Aktion";"Ja"
5;11;138187;"Foto";"Aktion";"Nein"
6;13;136640;"Foto";"Aktion";"Nein"
5;14;113029;"Foto";"Aktion";"Nein"
7;9;138353;"Foto";"Inspiration";"Nein"
7;10;135194;"Status";"Inspiration";"Nein"
2;3;86491;"Foto";"Inspiration";"Nein"
