"wochentag";"stunde";"likes";"typ";"kategorie";"bezahlt";"klicks"
7;12;129601;"Foto";"Inspiration";"Nein";667
5;9;136392;"Foto";"Aktion";"Nein";239
7;3;102111;"Link";"Produkt";"Nein";338
7;12;131953;"Foto";"Produkt";"Nein";1062
4;3;129599;"Foto";"Produkt";"Nein";1418
6;13;107906;"Foto";"Produkt";"Nein";730
4;14;131803;"Status";"Inspiration";"Nein";3628
5;3;91969;"Foto";"Produkt";"Nein";1440
6;13;117763;"Foto";"Produkt";"Ja";766
1;9;96749;"Foto";"Produkt";"Nein";714
6;12;136639;"Foto";"Aktion";"Ja";390
1;7;129599;"Foto";"Inspiration";"Ja";1020
6;10;132199;"Foto";"Inspiration";"Nein";796
5;8;136391;"Foto";"Aktion";"Nein";250
6;18;100732;"Foto";"Aktion";"Nein";766
4;3;139441;"Foto";"Inspiration";"Nein";170
1;11;137058;"Foto";"Aktion";"Ja";484
1;2;86491;"Link";"Aktion";"Nein";71
4;3;124940;"Foto";"Produkt";"Ja";942
4;7;113028;"Link";"Aktion";"Ja";477
2;1;129598;"Foto";"Inspiration";"Nein";837
1;23;131631;"Foto";"Produkt";"Nein";487
6;3;133594;"Foto";"Aktion";"Nein";1978
7;4;136737;"Status";"Inspiration";"Nein";1512
4;9;120047;"Foto";"Produkt";"Ja";719
6;10;135712;"Foto";"Produkt";"Nein";324
2;2;134878;"Foto";"Produkt";"Ja";626
6;10;131298;"Status";"Inspiration";"Nein";131
6;14;111621;"Foto";"Aktion";"Nein";2507
4;5;113028;"Foto";"Aktion";"Nein";1899
7;12;85978;"Foto";"Produkt";"Nein";1241
2;7;116433;"Foto";"Produkt";"Nein";1020
6;4;134880;"Foto";"Produkt";"Ja";393
1;10;133679;"Foto";"Inspiration";"Nein";610
6;9;136393;"Foto";"Aktion";"Nein";310
4;3;130792;"Foto";"Produkt";"Nein";911
2;13;124939;"Foto";"Inspiration";"Nein";969
1;10;132817;"Foto";"Produkt";"Nein";1156
5;4;86907;"Link";"Aktion";"Nein";581
4;12;129600;"Status";"Inspiration";"Ja";3097
1;8;130790;"Foto";"Inspiration";"Nein";731
7;2;119198;"Status";"Inspiration";"Nein";2758
5;10;135617;"Foto";"Produkt";"Nein";951
1;10;134880;"Video";"Aktion";"Nein";3253
5;10;133595;"Foto";"Inspiration";"Nein";771
4;11;138458;"Status";"Inspiration";"Nein";3420
4;10;138352;"Foto";"Aktion";"Nein";12074
7;9;137056;"Foto";"Inspiration";"Nein";327
6;4;124940;"Foto";"Aktion";"Nein";1389
5;8;136735;"Foto";"Aktion";"Nein";48
7;3;124941;"Foto";"Produkt";"Nein";873
2;13;129599;"Foto";"Aktion";"Ja";2251
7;4;92398;"Foto";"Aktion";"Nein";1878
3;4;81371;"Foto";"Inspiration";"Nein";745
2;10;104070;"Foto";"Aktion";"Nein";29
6;9;136391;"Status";"Inspiration";"Nein";3290
3;11;125614;"Foto";"Aktion";"Nein";286
2;9;92935;"Foto";"Aktion";"Ja";1194
1;14;116434;"Foto";"Inspiration";"Nein";714
1;12;131955;"Status";"Inspiration";"Nein";382
